"","lat","long"
"105649",33,106
"106978",39,109
"107482",42,113
"110964",22,115
"113095",48,125
"118786",44,120
"119933",19,111
"120183",35,99
"121199",2,1
"124011",15,101
"126717",28,101
"128806",46,121
"129306",43,120
"130137",-20,57
"133027",21,102
"133460",50,118
"134102",21,106
"135963",3,102
"136303",23,99
"138491",48,128
"139086",27,90
"140818",25,101
"141275",32,39
"158594",23,102
"162499",37,126
"165230",35,129
"170228",22,92
"171649",40,96
"171752",44,121
"180951",41,83
"184747",21,101
"185851",13,78
"186785",1,104
"194783",39,123
"196288",45,89
"196882",34,105
"197456",48,124
"199154",34,100
"203212",45,120
"210201",30,123
"219047",45,132
"224377",36,140
"226229",43,128
"250351",30,94
"251873",60,30
"260229",0,1
"262468",42,117
"262799",42,115
"264311",25,121
"271807",44,112
"276424",50,121
"276634",14,100
"290226",50,14
"291479",43,88
"295490",41,95
"305964",-37,175
"306450",47,134
"311452",10,107
"322188",45,-102
"333051",38,77
"338774",38,123
"391217",20,-156
"408992",41,96
"422078",32,102
"440595",24,101
"442918",35,103
"459591",37,108
"500304",25,107
"509521",33,126
"512204",44,130
"519811",49,117
"524827",-38,143
"567448",44,26
"572397",38,102
"577605",43,-82
"590094",37,-122
"602633",50,126
"609254",-18,16
"618828",29,92
"691879",24,90
"695513",40,76
"733585",35,93
"733909",39,77
"743551",42,112
"755104",29,77
"773026",11,107
"819318",23,120
"845190",39,125
"859614",1,0
"864252",27,99
"870255",36,97
"872019",52,125
"944790",51,3
"973230",-29,115
"1001116",24,98
"1029912",48,122
"1041228",43,87
"1067299",30,92
"1105729",23,119
"1156193",10,100
"1187991",28,90
"1291533",46,116
"1318972",46,87
"1325598",40,-76
"1396464",36,139
"1477412",41,-74
"1525298",44,94
"1551613",45,86
"1922827",40,78
"2188520",44,118
"2224272",9,100
"2300080",44,84
"2382342",37,95
"2825338",46,120
"2880162",48,-122
"3180562",11,28
