"","lat","long"
"614",37.3,113.6
"616",19.3,110.5
"620",25.7,114.8
"626",25.1,117
"628",22.7,114
"631",30.6,104
"633",40.7,108.6
"635",33.7,113.3
"636",22.5,113.3
"637",30.2,120.2
"638",35.2,113.3
"646",27.8,112.9
"655",22.6,114.2
"657",22.9,114
"668",28.4,118.2
"671",36.3,120.4
"672",30.4,114.4
"673",33,119
"680",34.6,113.7
"682",30.7,105.2
"683",31.2,103.8
"686",37.5,115.6
"689",36.5,116
"691",24.4,109.6
"694",39.9,116.1
"695",41.8,123.4
"703",16.8,96.2
"707",41.1,120.8
"713",32.1,118.6
"714",33.4,120.1
"722",31.3,104.2
"723",40.3,97
"726",36.2,113.1
"727",25.7,114.7
"728",24.5,110.4
"729",24.7,109.2
"730",36.7,120.9
"734",22.8,114.7
"739",36.1,120.3
"741",36.1,111.5
"742",30.8,111.3
"748",31.2,120.5
"750",30.7,103.9
"751",31.7,120.1
"753",42,123.3
"758",24.4,109.4
"761",31.9,120.3
"762",37.8,115.7
"763",28.2,112.9
"768",26,119.5
"775",23.3,113.6
"776",28.1,120.7
"777",36.6,117
"780",31.4,117.5
"782",23.8,114.7
"783",20,110.3
"785",32.2,119.4
"792",46.8,130.4
"793",27.1,110.9
"795",23.4,116.5
"801",32,117.2
"803",35.4,119.5
"805",26.9,116.3
"808",39.3,112.4
"811",24.2,102.7
"821",26.6,118.2
"822",31.6,120.4
"825",27.7,118.9
"830",35.9,116.5
"832",34.1,109.1
"836",28.2,113
"841",31.4,121.5
"842",23.5,113.8
"843",30.8,121.3
"845",30.6,120.5
"846",36.4,114.9
"847",31,105.9
"848",23,114.4
"849",38.7,116
"850",34.3,108.9
"851",39.7,116.7
"854",26.1,119.2
"856",25,102.7
"859",22.9,113.3
"860",44.4,126.9
"867",30.5,114.9
"881",30.6,113.2
"883",27.1,105.6
"888",23.7,113
"889",29.9,121.4
"894",39.8,116.5
"895",31.7,112.9
"896",25.5,119.1
"900",24.7,102.9
"903",33.9,113.8
"904",38,114.5
"905",30.6,119.9
"907",40.7,122.5
"910",31.1,112.2
"911",31.2,120.7
"913",24.5,118
"918",28.3,106.2
"919",34.4,115.6
"927",36.7,117.2
"928",28,113
"930",39.7,119.2
"932",29.6,106.4
"934",34.5,113.4
"938",28.7,115.8
"943",23.9,112.2
"945",38.7,116.1
"946",29.3,113.1
"950",36.7,114.2
"951",39.2,117.1
"952",41.1,122.9
"955",23,114.3
"956",30.5,105.6
"958",36.2,117.1
"960",41.7,86.2
"961",37.2,117.1
"969",23.2,116.6
"975",23.1,113.6
"976",40.5,111.5
"977",31,117
"982",32.7,109
"983",32.4,105.8
"987",34.5,115.7
"988",25.1,104.9
"989",31.4,106.1
"991",44.7,85.5
"994",36.8,117.8
"995",36.6,114.5
"996",25.1,55.1
"998",22.5,113.4
"999",26.6,119.5
"1002",31.2,121.6
"1005",29.4,119.9
"1006",34.4,108.6
"1012",29.8,106.7
"1017",23.1,113.1
"1018",27.6,103.9
"1019",37,119.9
"1020",39,121.7
"1023",41.7,123.4
"1024",23.6,113.7
"1027",19.9,110.5
"1028",29.8,115.2
"1030",21.6,110.9
"1031",30.6,120.6
"1032",22.8,114.3
"1037",38.9,121.5
"1040",37.8,113.6
"1042",22.2,112.8
"1044",39.9,116.7
"1046",30.1,103.9
"1048",39.4,115.7
"1049",30.3,120.4
"1052",30.2,119.7
"1054",22.9,112
"1055",36.7,118.5
"1058",30.2,116.1
"1059",23.4,113.3
"1064",42,124.7
"1065",23.1,109.6
"1066",19.9,109.7
"1068",22.8,114.4
"1071",37.7,112.6
"1075",32.7,112.6
"1079",35,108.6
"1083",29.3,120.1
"1084",24.5,111.4
"1092",37.2,114.5
"1098",27.6,110
"1099",38.8,117.1
"1100",42,121.6
"1102",29.9,121.6
"1104",31.7,118.5
"1112",24.1,115.2
"1114",23.5,110.7
"1116",30.4,120
"1117",31.8,104.7
"1118",35.2,117.6
"1125",36.5,115.1
"1127",23.8,109.2
"1128",30.7,114.2
"1129",30.9,104.1
"1131",30.7,114.3
"1135",46.7,83
"1137",26.4,112.4
"1138",40.1,116.7
"1144",33.9,114.2
"1145",29.6,106.5
"1148",27.1,113.2
"1150",34.6,112.5
"1156",39.1,117.2
"1160",30.3,120.2
"1162",32,119.6
"1163",40.1,116.3
"1168",28.1,115.8
"1175",26,119.4
"1176",23.8,108.9
"1180",1.2,1.2
"1182",32.1,112.2
"1196",26.2,119.5
"1197",23.4,113.2
"1198",22.5,113.9
"1200",29.9,121.5
"1204",22.9,113.7
"1206",25.7,118.9
"1208",31.7,113.5
"1211",32.6,110.7
"1213",22.9,107.9
"1214",35,111
"1216",39.9,124.1
"1218",26.6,101.7
"1219",24.4,118.1
"1234",36.7,104.8
"1237",36.5,116.8
"1238",29.8,121.4
"1241",32.1,121.3
"1242",30,121.5
"1245",35,118.4
"1246",41.8,123.3
"1248",38.3,-101.8
"1251",21.6,111.8
"1260",31.8,117.7
"1261",34.8,113.6
"1267",36.7,117
"1269",30.9,121.1
"1273",30,120
"1279",39.7,116.3
"1286",23.2,116.4
"1297",34.7,113.6
"1298",32.3,112.4
"1302",40.2,116.6
"1304",31.5,121.3
"1313",34.2,117.3
"1318",28.1,113
"1321",39.7,116.5
"1323",30.6,103.5
"1324",30.6,114.4
"1326",34.8,111.2
"1339",29.7,116
"1346",39.7,98.5
"1350",28.7,116.4
"1354",30.8,104
"1358",31.4,121.2
"1360",31,121.1
"1364",27.7,112
"1367",30.9,121.2
"1368",36.1,114.3
"1371",36.5,113.4
"1373",38.1,114.6
"1374",27.6,106.8
"1379",23.3,116.4
"1381",46.6,131.2
"1383",31,104.3
"1388",35,117.2
"1389",30.1,105.3
"1399",22.8,114.1
"1400",31.1,121.5
"1408",23.5,116.7
"1409",31.6,120.8
"1410",32.6,117
"1411",23.1,113.7
"1415",34.8,109.9
"1425",36.6,101.7
"1426",23,113.2
"1427",41.7,123.2
"1431",39.3,110.2
"1438",24.6,118.2
"1439",23.5,111.3
"1440",40,113.2
"1444",39.9,116.2
"1445",29.5,105.8
"1446",22.8,108.4
"1447",30.7,120.7
"1449",36.6,119.5
"1451",25.8,115
"1452",37.7,115.7
"1457",32.5,120.5
"1460",37.1,111.8
"1464",36.4,119.8
"1466",31.8,121.5
"1467",33.5,119
"1476",28.7,118.2
"1477",23.2,114.1
"1480",34.3,117.2
"1481",37.9,113.6
"1482",40.1,116.4
"1488",31.3,121.3
"1493",41.8,123.5
"1497",27.5,110
"1501",22.6,112.8
"1511",26.2,111.6
"1515",38.5,106.3
"1521",0.7,0.9
"1523",35.1,111
"1532",31.2,121.1
"1533",24.5,117.6
"1534",22.8,113.9
"1536",44.2,129.3
"1538",39.6,118.2
"1542",28.6,112.3
"1543",22.8,113.8
"1544",30.5,104
"1546",28.9,119
"1547",45.5,126.4
"1552",35.1,111.1
"1557",36.2,116.4
"1572",31.9,117.2
"1584",31.7,120
"1585",37.4,112.8
"1600",32.2,120.2
"1602",33,112.5
"1604",40.1,113.3
"1611",24.6,118.1
"1615",36.6,114.8
"1619",21.9,110.1
"1620",30.5,114.2
"1622",31.5,118.4
"1626",24.7,116.2
"1627",31.2,107.5
"1629",36.2,117
"1631",35.6,118.8
"1634",37.5,118.7
"1635",40.6,115.1
"1636",31.1,104.4
"1640",21.9,112
"1642",30.7,120.5
"1645",36.8,118.1
"1649",28.2,113.1
"1650",39.4,117
"1653",40,119.6
"1657",26.7,119.5
"1662",26.4,106.6
"1665",37.3,115.7
"1667",22.9,113.2
"1674",26.4,106.7
"1680",27.2,119.6
"1681",29.2,113.8
"1682",45.5,125.1
"1683",24.3,109.4
"1684",28.6,121.2
"1685",25.5,114.6
"1687",39.2,117.2
"1690",33.6,114.1
"1693",36.6,111.8
"1701",23.3,113.3
"1706",34.1,113.5
"1710",33,118.5
"1712",36,103.8
"1713",37,118
"1718",22.4,113.4
"1719",36.4,116.4
"1720",25.6,119.5
"1727",31.4,120.6
"1730",39,115.3
"1732",38,112.5
"1734",30.9,120.5
"1736",35.2,117.2
"1741",38.4,112.7
"1748",27.7,118
"1750",43.6,122.2
"1754",35.2,113.8
"1758",25.1,118.2
"1759",34.4,114.2
"1767",31.5,120.3
"1770",32.5,120
"1797",37.5,118.5
"1800",34.8,112.5
"1804",28.8,112.9
"1813",29.5,109.4
"1819",40,119.7
"1823",22.6,113.5
"1824",29.3,113.2
"1825",25.7,100.2
"1833",30.8,106.1
"1834",34.6,112.4
"1836",35.2,113.2
"1839",34.2,113.8
"1843",51.6,121.7
"1844",26.9,112.7
"1845",36.9,110.2
"1858",41.1,121.1
"1862",36.4,114.4
"1865",23.9,113.5
"1867",30.8,108.4
"1869",45.8,131
"1872",37.9,114.7
"1873",36.1,120.5
"1875",29.3,117.2
"1877",36.4,113
"1878",38,114.6
"1879",22.9,112.9
"1885",35.9,117.5
"1887",30.1,119.7
"1892",39.2,117.4
"1894",24.4,111.5
"1897",36.1,103.7
"1899",31.2,121.7
"1902",30.2,115.1
"1903",45.8,126.7
"1907",30.6,104.2
"1909",39.6,116.7
"1916",31.4,120.7
"1923",42.9,124.2
"1927",26.7,106.6
"1932",35.7,107.6
"1933",24.8,118.7
"1944",41.2,122
"1947",26.9,120
"1952",24.5,118.1
"1956",37.6,112.4
"1957",39.3,115.8
"1958",26.5,101.7
"1960",42.1,121.7
"1968",21.6,110.3
"1969",27.4,111.5
"1970",28,120.7
"1978",37.8,118.8
"1983",34.5,109.5
"1992",43.8,126.5
"2001",30.4,111.7
"2002",31.8,117.2
"2003",30.1,104.6
"2007",30.7,112.7
"2011",37.1,117.9
"2013",29.1,119.2
"2021",43.9,125.4
"2023",24.3,117.8
"2035",30.3,109.5
"2049",28.5,115.9
"2051",37.8,112.6
"2064",20,110.4
"2066",25.3,119
"2070",29.9,107.7
"2074",30.5,117
"2075",43.5,124.8
"2086",31.3,119.6
"2095",25.8,109.6
"2101",24.5,117.9
"2103",36.2,111.7
"2108",32.1,120.4
"2110",32,118.9
"2111",28.8,112.3
"2113",40.1,124.4
"2124",45.7,126.6
"2129",30.9,121.9
"2138",24.4,114.1
"2142",39.1,121.7
"2145",31.4,104.8
"2146",37.5,113
"2150",31.4,119.5
"2153",25.8,117.4
"2154",22.6,113.3
"2158",29.5,121.8
"2165",29.6,106.3
"2166",26.6,119.6
"2170",1.2,0.6
"2172",30.9,120.1
"2173",25,102.8
"2178",22.7,109.4
"2179",24.6,102.8
"2180",22.8,115
"2185",28,120.6
"2194",36.6,119.3
"2197",22.2,113.5
"2203",34.4,104.1
"2206",42.9,130.3
"2207",36.1,113.1
"2219",22.7,112.8
"2222",40.7,122.2
"2224",31.3,111.2
"2229",26.8,119.7
"2230",40,116.6
"2241",31.5,120.8
"2248",22.4,106.8
"2258",28.1,112.8
"2276",34.2,117.2
"2278",25,118.1
"2285",30.5,106.4
"2286",29.1,106.6
"2287",1.4,0.7
"2288",25.5,113
"2290",36.4,120.4
"2291",28.1,121.2
"2297",26.8,113.5
"2299",25.3,118.8
"2301",31.1,120.7
"2311",31.9,121.1
"2313",28.9,115.8
"2315",27.8,99.7
"2319",45.5,-73.8
"2327",37.2,118.9
"2329",35.7,112.8
"2330",41.2,123.2
"2336",34.8,116.9
"2344",33,120.5
"2348",39.6,116.4
"2350",28.6,121.4
"2355",42.5,123.5
"2356",32.3,118.3
"2367",28.5,104.7
"2369",43.1,90.5
"2372",29,116.7
"2374",30.9,114.7
"2375",32.5,119.9
"2381",22.8,114
"2384",40.7,111.7
"2391",37.7,116.4
"2394",28.7,112.9
"2402",22.9,113.9
"2403",34.5,116.8
"2408",22.6,109.6
"2411",34.1,118.8
"2417",32.1,118.9
"2423",38.9,100.5
"2432",44.3,84.9
"2445",33,117
"2447",40.2,116.5
"2452",31.8,118.9
"2456",22,100.8
"2462",39.6,122
"2465",24.8,105.3
"2475",44,87.3
"2479",30.6,117.1
"2485",29,106.7
"2492",35.6,110.7
"2493",29.3,120
"2496",39.1,116.7
"2497",27.9,113.2
"2504",29.3,121.4
"2508",47.4,8.6
"2509",25.8,113
"2511",23.5,113.2
"2523",34.2,108.8
"2524",39.3,115.9
"2528",31,121.3
"2530",40.6,115
"2532",30,103
"2533",49.7,124.6
"2534",38.9,115.6
"2536",23.2,114.3
"2545",39.8,116.2
"2546",22.9,111
"2547",40.2,122.1
"2549",34.2,109
"2554",39.9,116.8
"2555",30.3,121.3
"2556",25.2,112.8
"2566",37.5,121.4
"2568",26,117.4
"2576",41.8,86.1
"2579",28,115.5
"2581",24.8,112.4
"2583",22.8,113.5
"2586",35.6,115.5
"2587",25.9,116.4
"2588",24.8,110.5
"2592",52.1,4.3
"2605",29.6,106.6
"2607",30.7,118.4
"2608",36.8,118.3
"2609",35.4,117
"2614",34.4,107.2
"2616",44,87.5
"2617",25.5,119
"2622",38.5,115
"2627",47.3,123.9
"2630",29.8,114.3
"2635",22.5,112.9
"2642",35.8,112.9
"2643",30.9,117.8
"2646",31.9,106.2
"2648",23.2,113.7
"2661",22.4,111.2
"2668",36.7,117.5
"2673",27.7,113.1
"2677",35.9,120
"2690",41.5,123
"2700",34.7,113.7
"2703",31.3,121
"2714",39.7,123
"2721",32.4,119.5
"2728",37.4,110.9
"2753",35.3,111.3
"2756",26.4,112.8
"2761",31.9,121.2
"2764",31.1,104.3
"2768",24.8,116.9
"2770",31.9,118.9
"2773",36.1,110.7
"2776",23.5,99.4
"2777",23.2,112.9
"2778",34.4,118.3
"2783",30,106.3
"2787",23.4,116.8
"2790",36.9,116.8
"2793",25.8,119.4
"2795",23,112.5
"2804",22.6,107.9
"2814",30.7,103.5
"2823",36.5,113.3
"2825",18.3,109.5
"2839",32.6,119.6
"2851",28.1,121
"2853",35.7,107.7
"2854",27.4,114.6
"2859",34.9,119.1
"2866",22.8,113
"2870",33.7,113.2
"2875",28.2,121.3
"2877",28.4,112.9
"2878",32.1,120.6
"2884",37.4,122.2
"2889",25.9,112.2
"2890",41.9,123.4
"2892",27.8,112.5
"2893",39.6,117.1
"2903",42,122.8
"2909",36.1,113.8
"2910",25.4,112.8
"2911",30.8,103.9
"2913",30.3,112.2
"2916",43.5,125.7
"2918",32.6,119.2
"2921",30.3,112.3
"2922",33.9,109.2
"2924",35.4,114.8
"2926",34.2,113.9
"2929",30.7,112.6
"2930",0.8,0.8
"2932",24.7,118.5
"2934",37.8,115
"2938",24.9,118.3
"2939",45.3,130.9
"2942",37.9,120.7
"2949",29.9,121.7
"2956",27.1,108.4
"2960",37,117.2
"2961",32.2,119.3
"2970",25.3,118.3
"2977",32.5,116.9
"2978",30.4,112.2
"2980",36.4,118.5
"2984",32.1,111.8
"2992",28.2,121.1
"2997",25.6,111.9
"2998",31.1,118.6
"3005",28,120.9
"3006",22.5,114
"3007",22.3,113.6
"3008",40.8,120.8
"3011",30.7,111.3
"3014",46.6,125.1
"3015",36.2,116.7
"3019",29.9,110
"3020",35.6,117.6
"3021",36.1,117.8
"3023",22.3,113.9
"3034",41,117.8
"3037",39,121.6
"3041",31.9,121.3
"3045",34.3,107.9
"3050",42,119.3
"3051",34.8,115.3
"3053",30.9,118.8
"3056",30.9,120.7
"3070",31.7,120.5
"3081",31.8,120
"3084",28.1,121.3
"3086",24.9,118.5
"3096",25.4,114.9
"3097",36.4,117.9
"3099",32.9,117.3
"3102",31.1,121.8
"3106",38,115
"3107",37.2,120.9
"3110",31.1,107.9
"3111",22.9,108.4
"3114",37.6,108.8
"3121",32.7,120.3
"3125",32,107.6
"3127",27.9,120.4
"3131",33.7,119.1
"3133",30.9,118
"3136",29.5,106.4
"3146",31.9,120
"3149",27.3,118.1
"3151",29.7,120.2
"3159",32,119.5
"3163",34,113.2
"3167",39.6,116.8
"3169",23.4,103.2
"3174",38.1,115.1
"3177",46.6,125.2
"3183",26.7,100.8
"3193",44.3,129.5
"3194",29.8,121.6
"3196",30.1,112.3
"3197",37.2,118.5
"3204",31.3,118.1
"3210",31.3,120.5
"3211",33.1,118.7
"3217",45.2,130.8
"3218",29.6,120.8
"3221",35.4,112.7
"3225",30.7,121.3
"3234",33.4,114.6
"3240",23.5,113.3
"3245",29.8,104.1
"3247",38.8,116.2
"3254",40.2,116.2
"3255",31.9,120.1
"3256",36.6,117.5
"3257",39.9,116.6
"3262",36.3,113.3
"3264",37.5,118.6
"3266",31,121.2
"3269",24.8,113.5
"3272",37.2,116.9
"3273",36.2,115.2
"3275",30.1,102
"3276",32.2,119.7
"3278",32.5,111.1
"3281",36.8,117.2
"3282",26,111.7
"3283",31.4,120.8
"3287",26.6,101.6
"3292",40.8,111.5
"3300",27.8,115.3
"3301",30.5,114.1
"3306",34.6,113.3
"3307",28.8,120.2
"3310",34.4,107.1
"3318",39.1,117.1
"3319",41.2,121.4
"3321",34.9,118.8
"3322",39.6,116.5
"3323",46.7,82.9
"3325",30.9,113.9
"3331",40.9,122.7
"3341",36.9,120.5
"3342",28,121.1
"3358",37.2,122.6
"3364",29.5,106.3
"3366",44.4,131.1
"3373",27.7,120.1
"3375",30.4,120.1
"3383",35.2,113.4
"3385",25.2,112.5
"3386",24.4,117.8
"3387",23,114.5
"3390",30.3,120
"3393",30,121.1
"3395",33.2,107.5
"3398",44.6,129.6
"3399",30,122.1
"3406",35.4,116.6
"3407",39.9,119.5
"3411",39,112.9
"3413",39.7,116.1
"3414",32.2,118.3
"3416",37.7,112.7
"3422",33.3,120.2
"3437",38.7,112.7
"3440",23,113.9
"3444",29.9,119.9
"3455",34,118.2
"3458",33.9,113.3
"3459",18.2,109.5
"3462",41.9,123.8
"3463",42.1,120.9
"3468",31.5,120.1
"3472",30.9,121.4
"3479",29.2,103.2
"3480",36.5,111.7
"3484",34.9,113.5
"3490",40,116.2
"3495",31.7,120.3
"3496",30.4,107.8
"3503",37,116
"3506",30.3,107.3
"3510",31.9,119.2
"3512",25.8,106.1
"3514",30.7,120.9
"3515",46.6,127
"3521",35.4,115.6
"3531",24.7,110.5
"3534",28.5,112.4
"3538",28.1,120.6
"3539",30.4,114.9
"3556",42.4,123.5
"3559",35,119.2
"3572",36.7,118.8
"3573",29.2,115.8
"3580",39,117.7
"3581",38.8,115.5
"3588",37.5,111.1
"3591",43.9,87.6
"3595",34.4,113.4
"3597",32,120.4
"3598",39.8,116.9
"3599",28.8,104.6
"3602",27.2,115.1
"3603",32.7,110.8
"3604",36.3,116
"3606",33.4,114.7
"3609",40.7,111.6
"3619",39.2,117
"3621",26,119.2
"3636",33,113.1
"3638",34.6,112.1
"3640",36.2,116.8
"3644",34.3,113.8
"3646",25.8,114.9
"3649",34.8,115.6
"3655",30.8,121
"3659",28.8,111.2
"3660",31.1,121.3
"3667",33.1,115.4
"3674",25.3,104.2
"3679",29.8,106.5
"3688",32.6,120.2
"3698",30.3,106.8
"3701",26.6,114.2
"3706",23,114
"3708",35.7,116.5
"3712",25.9,113.2
"3716",28.9,105.5
"3734",31.6,117
"3737",37.2,121.9
"3741",37.9,118.5
"3743",22.9,108.2
"3744",28.2,112
"3750",32.1,120.9
"3756",28.9,112
"3757",36.9,116
"3759",28.2,116.6
"3761",29.8,118
"3762",24.6,118.3
"3769",27.2,116.5
"3771",37.9,112.2
"3773",31.8,119.9
"3775",36.8,119
"3779",27.4,109.7
"3780",30.7,116.8
"3781",35.5,119.5
"3782",35.4,116.7
"3801",30.2,121.2
"3809",23.6,116.8
"3815",30.4,120.2
"3818",24.8,107.6
"3819",32.3,121.2
"3823",38.4,115
"3826",43.8,125.2
"3827",35.1,113.2
"3835",23.3,116.6
"3836",35.3,115.2
"3838",0.9,0.6
"3842",30.8,120.3
"3849",40.2,116.9
"3852",26.4,111.6
"3856",36.6,116.2
"3857",47.3,124
"3859",30.2,122.2
"3860",36.3,112.9
"3864",36.2,120.5
"3868",41.3,123.8
"3889",36.2,117.7
"3900",26.7,112.7
"3901",34.9,112.8
"3909",29.9,115.5
"3914",31.6,106
"3919",32,119.2
"3933",32.2,120.7
"3936",36.8,116.8
"3938",40,118.7
"3944",0.7,0.8
"3950",37.5,122
"3956",40,116.7
"3960",30.2,120.5
"3963",0.1,0.4
"3974",30.3,120.6
"3977",31.9,120.4
"3982",36.8,115.7
"3987",31.8,107.3
"4007",27.8,120.7
"4010",30.8,120.5
"4011",27.1,111
"4012",25.6,103.9
"4013",36.8,118
"4014",38.7,117.5
"4016",35.1,109.8
"4017",28.6,120.1
"4029",24.4,111.6
"4032",31.5,116.9
"4037",26.2,117.6
"4038",35.1,115.2
"4040",33.1,111.5
"4044",31.5,114.7
"4052",25.1,102.9
"4055",32.2,118.9
"4060",36,116.9
"4061",26.3,102.6
"4062",36.1,117.2
"4065",37.7,114.9
"4068",27.8,109.2
"4070",34.3,108.2
"4079",36.9,117.8
"4082",33.6,114
"4083",25.6,113.7
"4085",30,120.8
"4087",35.9,117.4
"4093",32,120.8
"4097",31.8,117.4
"4098",31.4,118.4
"4107",39.1,116.6
"4115",33.6,119
"4116",31.5,121.2
"4120",35.4,114
"4123",36.5,112.3
"4126",33.7,117
"4137",42.2,123.2
"4145",31.5,104.8
"4146",34.7,112.4
"4152",23.4,116.4
"4156",24.6,118.6
"4158",22,113.4
"4161",32.7,112.8
"4170",32.1,121.7
"4172",37.6,116.8
"4177",31.3,120.9
"4183",30.9,121.8
"4198",36.3,115
